movie_id,title,genres,description,year,avg_rating
73,Adventure 4,Animation,A terrifying animation movie from 2003.,2003,6.1
74,action-packed Secret,"Horror, Mystery","A thrilling, mysterious horror mystery movie from 2019.",2019,6.0
75,Ghost 2,Adventure,A inspirational adventure movie from 1995.,1995,1.5
76,Heart 3,"Comedy, Romance, Fantasy","A heartbreaking, thought-provoking comedy romance fantasy movie from 2000.",2000,6.8
77,Quest 1,Action,"A hilarious, inspirational, dramatic action movie from 1996.",1996,7.1
78,dramatic Enemy,Drama,"A mysterious, thrilling, suspenseful drama movie from 2000.",2000,4.6
79,epic Friend 4,"Crime, Animation","A hilarious, inspirational crime animation movie from 1999.",1999,7.6
80,romantic Adventure 4,Documentary,"A thought-provoking, emotional documentary movie from 2020.",2020,5.6
81,thought-provoking Heart,Crime,A mysterious crime movie from 2003.,2003,5.9
82,Queen 2,Romance,"A thought-provoking, action-packed romance movie from 2011.",2011,7.0
83,emotional Dragon,"Mystery, Adventure",A romantic mystery adventure movie from 1991.,1991,3.3
84,The Time of Space,"Drama, Adventure, Documentary","A thought-provoking, suspenseful, epic drama adventure documentary movie from 2023.",2023,6.5
85,terrifying Princess,"Mystery, Romance","A thrilling, romantic mystery romance movie from 1993.",1993,5.5
86,The action-packed Night,Thriller,"A mysterious, heartwarming, heartbreaking thriller movie from 2020.",2020,4.0
87,The action-packed Life,"Adventure, Mystery, Animation","A epic, dramatic adventure mystery animation movie from 2004.",2004,7.5
88,thrilling Island 2,"Fantasy, Sci-Fi","A emotional, mysterious fantasy sci-fi movie from 1993.",1993,8.6
89,Love 4,Action,"A emotional, action-packed action movie from 2005.",2005,2.2
90,dramatic Hero,"Animation, Comedy, Thriller","A heartwarming, mysterious, thought-provoking animation comedy thriller movie from 1994.",1994,7.7
91,The heartwarming Quest,"Mystery, Crime","A dramatic, suspenseful mystery crime movie from 2006.",2006,5.9
92,Friend 4,"Sci-Fi, Mystery, Thriller","A action-packed, emotional, heartbreaking sci-fi mystery thriller movie from 2010.",2010,8.1
93,The Life of Man,"Action, Sci-Fi",A thrilling action sci-fi movie from 2013.,2013,6.7
94,mysterious Stranger 3,Thriller,A epic thriller movie from 2008.,2008,4.1
95,The Light of Mystery,Mystery,A dramatic mystery movie from 2018.,2018,7.7
96,Galaxy 2,"Sci-Fi, Mystery",A action-packed sci-fi mystery movie from 2011.,2011,6.1
97,The hilarious Adventure,"Adventure, Fantasy, Romance",A epic adventure fantasy romance movie from 2003.,2003,4.4
98,heartbreaking Man 4,"Sci-Fi, Crime","A thought-provoking, heartwarming sci-fi crime movie from 1992.",1992,5.2
99,hilarious Stranger 1,"Mystery, Adventure",A terrifying mystery adventure movie from 2019.,2019,5.9
100,The heartbreaking Princess,"Thriller, Drama, Documentary","A emotional, mysterious, suspenseful thriller drama documentary movie from 1998.",1998,6.1
